COD_EDO,EDO,COD_MUN,MUN,COD_PAR,PAR,CENTRO,MESA,VOTOS_VALIDOS,VOTOS_NULOS,EG,NM,LM,JABE,JOBR,AE,CF,DC,EM,BERA,URL
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101001,1,449,0,323,114,3,1,0,1,1,2,0,4,https://static.resultadosconvzla.com/408106_205969_0184Acta0184.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101001,2,416,0,271,137,2,0,1,3,0,0,1,1,https://static.resultadosconvzla.com/408106_073085_0185Acta0185.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101001,3,468,0,325,123,4,0,1,4,3,0,1,7,https://static.resultadosconvzla.com/408106_749435_0186Acta0186.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101002,1,448,0,322,118,1,1,1,1,0,0,1,3,https://static.resultadosconvzla.com/408106_375657_0157Acta0157.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101002,2,455,0,290,144,1,1,1,7,1,0,2,8,https://static.resultadosconvzla.com/408106_777262_0158Acta0158.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101002,3,444,0,310,114,3,3,1,1,2,1,2,7,https://static.resultadosconvzla.com/408106_014130_0159Acta0159.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101003,2,534,0,382,137,3,1,0,4,0,0,0,7,https://static.resultadosconvzla.com/637933_602154_0748Acta0392.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101003,3,488,0,371,107,2,0,0,3,3,0,1,1,https://static.resultadosconvzla.com/408106_780752_0162Acta0162.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101003,4,521,0,389,117,5,0,0,2,1,0,0,7,https://static.resultadosconvzla.com/408106_218151_0165Acta0165.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101003,5,488,0,360,114,2,1,1,4,0,0,0,6,https://static.resultadosconvzla.com/408106_785693_0166Acta0166.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101003,6,484,0,361,111,2,1,0,3,0,0,1,5,https://static.resultadosconvzla.com/408106_144190_0163Acta0163.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101003,7,515,0,380,113,5,3,0,8,1,0,0,5,https://static.resultadosconvzla.com/408106_267749_0164Acta0164.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101004,1,547,0,326,200,3,0,1,7,2,0,3,5,https://static.resultadosconvzla.com/408106_130014_0172Acta0172.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101004,2,533,0,341,172,2,1,0,7,1,2,1,6,https://static.resultadosconvzla.com/408106_042858_0388Acta0374.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101006,1,469,0,312,142,3,0,1,7,0,0,2,2,https://static.resultadosconvzla.com/408106_991570_0170Acta0170.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101006,2,475,0,291,169,0,1,0,5,0,2,2,5,https://static.resultadosconvzla.com/408106_776869_0167Acta0167.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101006,3,477,0,293,161,4,2,1,8,0,0,0,8,https://static.resultadosconvzla.com/408106_015279_0169Acta0169.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101006,5,459,0,285,163,2,0,0,2,1,0,1,5,https://static.resultadosconvzla.com/408106_927571_0168Acta0168.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101007,1,430,0,278,143,2,0,0,1,0,1,2,3,https://static.resultadosconvzla.com/408106_677859_0148Acta0148.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101007,2,386,0,265,107,0,1,0,6,1,0,2,4,https://static.resultadosconvzla.com/408106_146053_0149Acta0149.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101007,3,373,0,256,104,3,1,0,3,0,0,2,4,https://static.resultadosconvzla.com/408106_652337_0150Acta0150.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101008,1,422,0,291,124,2,0,1,3,0,0,0,1,https://static.resultadosconvzla.com/408106_649748_0151Acta0151.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101008,2,416,0,290,113,2,2,0,6,0,1,0,2,https://static.resultadosconvzla.com/408106_692549_0152Acta0152.jpg
1,DTTO. CAPITAL,1,MP. BLVNO LIBERTADOR,1,PQ. ALTAGRACIA,10101008,3,416,0,283,124,0,0,2,1,1,0,0,5,https://static.resultadosconvzla.com/408106_491051_0153Acta0153.jpg
